指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,0.0
battery_charge_cost_yuan,20273.389474
battery_discharge_cost_yuan,28.910084211
battery_total_cost_yuan,20302.299558210998
chiller_cost_yuan,9700.0
heat_pump_cost_yuan,9000.0
adjustable_loads_cost_yuan,18700.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,790811.6426845765
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,39002.299558211
total_cost_yuan,829813.9422427875
total_revenue_yuan,0.0
net_cost_yuan,829813.9422427875
average_cost_yuan_per_mwh,658.704632273982
average_electricity_price_yuan_mwh,395.12345416641546
