指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,0.0
battery_charge_cost_yuan,27464.4184
battery_discharge_cost_yuan,39.6966276
battery_total_cost_yuan,27504.115027599997
chiller_cost_yuan,6900.0
heat_pump_cost_yuan,2760.0
adjustable_loads_cost_yuan,9660.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,572601.038919446
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,37164.1150276
total_cost_yuan,609765.1539470459
total_revenue_yuan,0.0
net_cost_yuan,609765.1539470459
average_cost_yuan_per_mwh,484.0303483195278
average_electricity_price_yuan_mwh,395.12345416641546
