指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,414000.0
battery_charge_cost_yuan,27464.4184
battery_discharge_cost_yuan,39.6966276
battery_total_cost_yuan,27504.115027599997
grid_purchase_cost_yuan,87865.40630832934
grid_sale_revenue_yuan,158805.58798661106
total_generation_cost_yuan,445835.05503771733
total_cost_yuan,533700.4613460466
total_revenue_yuan,158805.58798661106
net_cost_yuan,374894.8733594356
average_cost_yuan_per_mwh,297.5907937027368
average_electricity_price_yuan_mwh,395.12345416641546
