指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,414000.0
battery_charge_cost_yuan,27540.46134
battery_discharge_cost_yuan,39.810692010000004
battery_total_cost_yuan,27580.27203201
chiller_cost_yuan,6900.0
heat_pump_cost_yuan,2760.0
adjustable_loads_cost_yuan,9660.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,299559.50538123504
grid_sale_revenue_yuan,1496.658770905171
total_generation_cost_yuan,451240.27203201
total_cost_yuan,750799.777413245
total_revenue_yuan,1496.658770905171
net_cost_yuan,749303.1186423398
average_cost_yuan_per_mwh,594.7953030206397
average_electricity_price_yuan_mwh,395.12345416641546
