指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,414000.0
battery_charge_cost_yuan,21411.790280999998
battery_discharge_cost_yuan,30.617685421500003
battery_total_cost_yuan,21442.4079664215
chiller_cost_yuan,9700.0
heat_pump_cost_yuan,11007.309347999999
adjustable_loads_cost_yuan,20707.309348
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,214448.8546798281
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,460480.65732453886
total_cost_yuan,674929.512004367
total_revenue_yuan,0.0
net_cost_yuan,674929.512004367
average_cost_yuan_per_mwh,535.757684203406
average_electricity_price_yuan_mwh,395.12345416641546
