指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,414000.0
battery_charge_cost_yuan,28044.63594
battery_discharge_cost_yuan,40.566953909999995
battery_total_cost_yuan,28085.202893910002
chiller_cost_yuan,6900.0
heat_pump_cost_yuan,2760.0
adjustable_loads_cost_yuan,9660.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,32200.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,17250.0
ancillary_services_revenue_yuan,49450.0
grid_purchase_cost_yuan,15984.63437826273
grid_sale_revenue_yuan,312806.05704699084
total_generation_cost_yuan,456076.14290402737
total_cost_yuan,472060.7772822901
total_revenue_yuan,362256.05704699084
net_cost_yuan,109804.72023529926
average_cost_yuan_per_mwh,87.16276526886584
average_electricity_price_yuan_mwh,395.12345416641546
