指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,331.74789748740454
wind_generation_mwh,334.0250653350453
total_renewable_mwh,665.7729628224498
renewable_penetration_ratio,0.4910652307422055
battery_charge_mwh,2109.7939422
battery_discharge_mwh,2.0097939422
battery_round_trip_efficiency,0.0009526020062908492
grid_purchase_mwh,13080.00085
grid_sale_mwh,11500.0
net_grid_purchase_mwh,1580.0008500000004
chiller_consumption_mwh,460.0
heat_pump_consumption_mwh,345.0
total_adjustable_loads_mwh,805.0
adjustable_load_ratio,0.6390073750115572
freq_reg_up_avg_mw,19.166666666666668
freq_reg_down_avg_mw,0.0
spin_reserve_up_avg_mw,14.375
spin_reserve_down_avg_mw,0.0
total_ancillary_services_mw,33.54166666666667
ancillary_services_participation_ratio,0.6708333333333334
self_sufficiency_ratio,1.0
max_power_imbalance_mw,135.49999632653
average_power_imbalance_mw,65.6168358345786
supply_flexibility_index,5.212723512702543
