指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,414000.0
battery_charge_cost_yuan,20102.012654
battery_discharge_cost_yuan,28.653018981
battery_total_cost_yuan,20130.665672981
chiller_cost_yuan,9700.0
heat_pump_cost_yuan,9555.068824
adjustable_loads_cost_yuan,19255.068824
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,518938.1667242952
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,453385.734496981
total_cost_yuan,972323.9012212763
total_revenue_yuan,0.0
net_cost_yuan,972323.9012212763
average_cost_yuan_per_mwh,771.8287500377694
average_electricity_price_yuan_mwh,395.12345416641546
