指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,414000.0
battery_charge_cost_yuan,20311.389474
battery_discharge_cost_yuan,28.967084211
battery_total_cost_yuan,20340.356558211
chiller_cost_yuan,23000.0
heat_pump_cost_yuan,13800.0
adjustable_loads_cost_yuan,36800.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,651586.866857724
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,471140.356558211
total_cost_yuan,1122727.223415935
total_revenue_yuan,0.0
net_cost_yuan,1122727.223415935
average_cost_yuan_per_mwh,891.2186035888581
average_electricity_price_yuan_mwh,395.12345416641546
