指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,0.0
wind_generation_mwh,0.0
total_renewable_mwh,0.0
renewable_penetration_ratio,0.0
battery_charge_mwh,2031.1389474
battery_discharge_mwh,1.9311389474
battery_round_trip_efficiency,0.0009507665390750313
grid_purchase_mwh,1474.1296020999998
grid_sale_mwh,0.0
net_grid_purchase_mwh,1474.1296020999998
chiller_consumption_mwh,460.0
heat_pump_consumption_mwh,345.0
total_adjustable_loads_mwh,805.0
adjustable_load_ratio,0.6390073750115572
freq_reg_up_avg_mw,0.0
freq_reg_down_avg_mw,0.0
spin_reserve_up_avg_mw,0.0
spin_reserve_down_avg_mw,0.0
total_ancillary_services_mw,0.0
ancillary_services_participation_ratio,0.0
self_sufficiency_ratio,0.5477206071527633
max_power_imbalance_mw,146.12279639749403
average_power_imbalance_mw,68.73294861511968
supply_flexibility_index,5.443811194917664
