指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,0.0
battery_charge_cost_yuan,26742.842849999997
battery_discharge_cost_yuan,38.614264275000004
battery_total_cost_yuan,26781.457114274996
chiller_cost_yuan,0.0
heat_pump_cost_yuan,0.0
adjustable_loads_cost_yuan,0.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,255700.28133045073
grid_sale_revenue_yuan,57072.4559833663
total_generation_cost_yuan,31112.39712439238
total_cost_yuan,286812.6784548431
total_revenue_yuan,57072.4559833663
net_cost_yuan,229740.22247147682
average_cost_yuan_per_mwh,182.36732483983798
average_electricity_price_yuan_mwh,395.12345416641546
