指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,0.0
battery_charge_cost_yuan,19820.646474
battery_discharge_cost_yuan,28.230969711
battery_total_cost_yuan,19848.877443711
chiller_cost_yuan,0.0
heat_pump_cost_yuan,0.0
adjustable_loads_cost_yuan,0.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,308902.68406944
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,24179.817453828386
total_cost_yuan,333082.5015232684
total_revenue_yuan,0.0
net_cost_yuan,333082.5015232684
average_cost_yuan_per_mwh,264.40021734244317
average_electricity_price_yuan_mwh,395.12345416641546
