指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,0.0
battery_charge_cost_yuan,20255.885754000003
battery_discharge_cost_yuan,28.883828631
battery_total_cost_yuan,20284.769582631
chiller_cost_yuan,0.0
heat_pump_cost_yuan,0.0
adjustable_loads_cost_yuan,0.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,4888396.305535273
grid_sale_revenue_yuan,4348506.545005474
total_generation_cost_yuan,24615.709592748386
total_cost_yuan,4913012.015128021
total_revenue_yuan,4348506.545005474
net_cost_yuan,564505.4701225469
average_cost_yuan_per_mwh,448.1033026617065
average_electricity_price_yuan_mwh,395.12345416641546
