指标,数值
pv_cost_yuan,0.0
wind_cost_yuan,0.0
renewable_cost_yuan,0.0
gas_cost_yuan,0.0
battery_charge_cost_yuan,20340.486974
battery_discharge_cost_yuan,29.010730460999998
battery_total_cost_yuan,20369.497704461
chiller_cost_yuan,0.0
heat_pump_cost_yuan,0.0
adjustable_loads_cost_yuan,0.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,605663.4978195918
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,20369.497704461
total_cost_yuan,626032.9955240528
total_revenue_yuan,0.0
net_cost_yuan,626032.9955240528
average_cost_yuan_per_mwh,496.9437281247788
average_electricity_price_yuan_mwh,395.12345416641546
