指标,数值
load_peak_mw,70.33874718019244
load_valley_mw,0.0
load_average_mw,52.490265337015906
load_total_mwh,1259.7663680883818
load_factor,0.746249648185336
pv_generation_mwh,0.0
wind_generation_mwh,0.0
total_renewable_mwh,0.0
renewable_penetration_ratio,0.0
battery_charge_mwh,2034.0486974
battery_discharge_mwh,1.9340486974
battery_round_trip_efficiency,0.000950836968589875
grid_purchase_mwh,1359.1326647
grid_sale_mwh,0.0
net_grid_purchase_mwh,1359.1326647
chiller_consumption_mwh,0.0
heat_pump_consumption_mwh,0.0
total_adjustable_loads_mwh,0.0
adjustable_load_ratio,0.0
freq_reg_up_avg_mw,0.0
freq_reg_down_avg_mw,0.0
spin_reserve_up_avg_mw,0.0
spin_reserve_down_avg_mw,0.0
total_ancillary_services_mw,0.0
ancillary_services_participation_ratio,0.0
self_sufficiency_ratio,0.0
max_power_imbalance_mw,213.059906397494
average_power_imbalance_mw,82.90569108454117
supply_flexibility_index,5.413890028862496
