指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,414000.0
battery_charge_cost_yuan,19831.70869
battery_discharge_cost_yuan,28.247563035
battery_total_cost_yuan,19859.956253035
chiller_cost_yuan,9700.0
heat_pump_cost_yuan,10696.933468
adjustable_loads_cost_yuan,20396.933468
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,228104.10114049603
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,458587.82973115233
total_cost_yuan,686691.9308716484
total_revenue_yuan,0.0
net_cost_yuan,686691.9308716484
average_cost_yuan_per_mwh,545.0946685564096
average_electricity_price_yuan_mwh,395.12345416641546
