指标,数值
pv_cost_yuan,1658.7394874370227
wind_cost_yuan,2672.2005226803626
renewable_cost_yuan,4330.940010117385
gas_cost_yuan,414000.0
battery_charge_cost_yuan,20295.417014
battery_discharge_cost_yuan,28.943125521
battery_total_cost_yuan,20324.360139521
chiller_cost_yuan,23000.0
heat_pump_cost_yuan,13800.0
adjustable_loads_cost_yuan,36800.0
freq_reg_up_revenue_yuan,0.0
freq_reg_down_revenue_yuan,0.0
spin_reserve_up_revenue_yuan,0.0
spin_reserve_down_revenue_yuan,0.0
ancillary_services_revenue_yuan,0.0
grid_purchase_cost_yuan,355368.4640338731
grid_sale_revenue_yuan,0.0
total_generation_cost_yuan,475455.3001496384
total_cost_yuan,830823.7641835115
total_revenue_yuan,0.0
net_cost_yuan,830823.7641835115
average_cost_yuan_per_mwh,659.5062268920829
average_electricity_price_yuan_mwh,395.12345416641546
